created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 09 15:19:31 +0000 2023;1733506669504807246;"@Leonita_Lestari Buka matamu lebar2. Jangan berlagak pilon kalo standar ukurannya adalah lembaga survei . Sejak 2014, lembaga2 survei itu justru ngeprank Prabowo. Dibilanglah Prabowo menang, padahal nyungsep alias Fadli ZONK.😎 https://t.co/J2NnsRqkDw";0;0;0;0;in;2372201718;1733474218975907971;AntonMariesie;https://twitter.com/AntonMariesie/status/1733506669504807246
Sat Dec 09 15:19:27 +0000 2023;1733506649951006760;"@AirinDatangLagi Kaya gak tau aja mainan prabowo dari 2014 - 2019 ?";0;0;0;0;in;1652742867411161088;1733505908515160366;andes_lauw81;https://twitter.com/andes_lauw81/status/1733506649951006760
Sat Dec 09 15:19:26 +0000 2023;1733506648956895740;"@ZulkifliLubis69 @prabowo @aniesbaswedan @cakimiNOW Kasihan harus nya sudah istirahat ngurus cucu dan peternakan nya";0;0;0;0;in;1718636607216185344;1733466085645828515;SatyaPutra53806;https://twitter.com/SatyaPutra53806/status/1733506648956895740
Sat Dec 09 15:19:24 +0000 2023;1733506638546608485;"@RomitsuT Siapa yang akan mengalahkan rekor pak Jokowi 5 kali ikut pemilu menang, salah satunya2 kali ikut pilpres menang, kalian baru mahasiswa kuliah di biayain orang tua, lulus kuliah belum tentu dapat kerja gan 🙏";0;0;0;0;in;516370499;1733087658912690415;DurisAbdul;https://twitter.com/DurisAbdul/status/1733506638546608485
Sat Dec 09 15:19:18 +0000 2023;1733506612810399857;"@ArgentianaA 🤝☝️GWS mbak";0;0;0;0;in;158912165;1733443041154003130;JHPrabowo;https://twitter.com/JHPrabowo/status/1733506612810399857
Sat Dec 09 15:19:17 +0000 2023;1733506611887632654;"@AgusYudhoyono @prabowo MENANGIS 1 PUTARAN";0;0;0;0;in;1561774141031649280;1733412950185332875;xpresswalang;https://twitter.com/xpresswalang/status/1733506611887632654
Sat Dec 09 15:19:17 +0000 2023;1733506609010336090;"@LoudMinorities @trikartikatika1 Ya ga punya cermin sampah pemilu";0;0;0;0;in;1369717426321977345;1733304368592785570;sugeng_rawit;https://twitter.com/sugeng_rawit/status/1733506609010336090
Sat Dec 09 15:19:16 +0000 2023;1733506607043289182;"@fxnetizen @Nicho_Silalahi @prabowo Prabowo ngk ada bedanya Sama jokodok pembual belaka .TUTI ...alias tukang tipu juga...korup juga...kemana tuh food estate . .terbengkala semuanya .modalnya kemana..juga..ngk jelas.paling masuk katong anda juga...cape deh..ujung2nya dikorupsi juga..";0;0;0;0;in;922666416;1733165405093708166;bravojumadi;https://twitter.com/bravojumadi/status/1733506607043289182
Sat Dec 09 15:19:10 +0000 2023;1733506582519140441;"Prabowo ngk ada bedanya Sama jokodok pembual belaka .TUTI ...alias tukang tipu juga...korup juga...kemana tuh food estate . .terbengkala semuanya .modalnya kemana..juga..ngk jelas.paling masuk katong anda juga...cape deh..ujung2nya dikorupsi juga..";0;0;0;0;in;922666416;1733506582519140441;bravojumadi;https://twitter.com/bravojumadi/status/1733506582519140441
Sat Dec 09 15:19:09 +0000 2023;1733506576458432732;"@kaerrnn @primawansatrio Kaa this is the time. Km aware apa yg terjadi saatnya km ajak tmn2 dan orang disektarmu untuk kritis terhadap pemilu sekarang. Ini penting dan significant from one voice for future Indonesia. Km dan generasi selanjutnya.";0;0;0;0;in;1119614895303999489;1733410084888383803;hosijinie;https://twitter.com/hosijinie/status/1733506576458432732
Sat Dec 09 15:18:57 +0000 2023;1733506528303571015;"@milkuenyar @HERSETIA99 @Yurissa_Samosir @AdamVelcro @AdeDhani9 @aking_adit @chaidar_2000 @Kang_Toniee @mustafaagus007 @choymarkochoy @Harywaraz Makasih sebelumnya buat pak prabowo atas gagasannya. Namun fakta di lapangan adalah Anies duluan yang mengimplementasikan, jadi ngga salah dong kl tim 01 bilang 02 melanjutkan program yang sudah berjalan di dki";0;0;0;0;in;1674400986771914752;1733371581622317091;gyupuppiy;https://twitter.com/gyupuppiy/status/1733506528303571015
Sat Dec 09 15:18:56 +0000 2023;1733506522737705026;"@RidNgemil Maksudnya satire, diserang teman sebarisan. Tapi saya tetap dgn pilihan yang dulu. Tetap setia berjuang bersama @prabowo .";0;1;0;0;in;1603654839551922176;1733378575167066606;CheppyRosadi;https://twitter.com/CheppyRosadi/status/1733506522737705026
Sat Dec 09 15:18:56 +0000 2023;1733506520066011599;"@info_beragam @prabowo @Gerindra Lebih yakin pilih PakbowoKita PilihannyaKita, aku kamu raih future menjadi milik aku kamu, dan kita2 memiliki kerja keras untuk meraihnya.  #AkuRelawanPrabowoGibran #KitaMudaBeraniKeren SerunyaBareng AyahbowoGibran @prabowo @gerindra";0;0;0;0;in;1711242151760396288;1733495825718993125;hari_saptraa;https://twitter.com/hari_saptraa/status/1733506520066011599
Sat Dec 09 15:18:51 +0000 2023;1733506502433149333;"@CahayaMuly30243 @Dwimesse_Dwi @andre_rosiade @prabowo Insya Allah 2024 H prabowo Menang.";0;0;0;1;in;1688150123791200256;1733353845156372782;Has_musliem;https://twitter.com/Has_musliem/status/1733506502433149333
Sat Dec 09 15:18:48 +0000 2023;1733506488814194762;"Viral!! Akun pendukung gibran ternyata akun bokep #gibran #prabowo #asamsulftat https://t.co/PKAljhNrUQ";0;0;0;1;in;1584179494364975108;1733506488814194762;anieskalteng;https://twitter.com/anieskalteng/status/1733506488814194762
Sat Dec 09 15:18:46 +0000 2023;1733506480312308107;"@alextham878 Sejak kapan Prabowo percaya kang SURVEI? https://t.co/w1RufDkEIH";0;0;0;0;in;2252851788;1733397252855812292;Aslt777;https://twitter.com/Aslt777/status/1733506480312308107
Sat Dec 09 15:18:45 +0000 2023;1733506477279908242;"@cuitcuap_ @prabowo @Gerindra begitu keren, jiwa memimpin yang dipunyai PakbowoKita PilihannyaKita tampak dari rencana yang jelas untuk masa depan yang makin baik bagi bangsa.  #AkuRelawanPrabowoGibran #KitaMudaBeraniKeren SerunyaBareng AyahbowoGibran @prabowo @gerindra https://t.co/tQRI01nXXH";0;0;0;0;in;1710829110489186304;1733501318302777451;MarkusKabak;https://twitter.com/MarkusKabak/status/1733506477279908242
Sat Dec 09 15:18:42 +0000 2023;1733506461861589067;"@Y_D_Y_P Iyalah keren elektabilitasnya 220%  Sudah di konfirmasi juga jadi presiden dalam pemilu landslide di 2024, 2028, 2032, dan 2036";0;0;0;0;in;1477347328851775496;1733469277104259359;4D3II;https://twitter.com/4D3II/status/1733506461861589067
Sat Dec 09 15:18:38 +0000 2023;1733506448074952871;"@Gerindra @prabowo HEBAT nih adminnya @Gerindra  menampilkan REALITA seharusnya seumuran eyang bowo dah waktunya momong cucu bukannya momong rakyat.  Rakyat cukup serahkan ke yang lebih MUDA";0;0;0;0;in;1496868661230903296;1732925784699097558;kangcucoklogi;https://twitter.com/kangcucoklogi/status/1733506448074952871
Sat Dec 09 15:18:37 +0000 2023;1733506441997373810;"@kurawa @mohmahfudmd Emang pemilu udah mulae ? Awas ntar jgn lupa sujud untuk kesekian kalinya karena terbuai survey";0;0;0;0;in;1715195865772773376;1733438080051494997;PukisCat;https://twitter.com/PukisCat/status/1733506441997373810
Sat Dec 09 15:18:35 +0000 2023;1733506432455336222;"@Nicho_Silalahi @prabowo Prabowo ngk ada bedanya Sama jokodok pembual belaka .TUTI ...alias tukang tipu juga...korup juga...kemana tuh food estate . .terbengkala semuanya .modalnya kemana..juga..ngk jelas.paling masuk katong anda juga...cape deh..ujung2nya dikorupsi juga..";0;0;0;0;in;922666416;1733165405093708166;bravojumadi;https://twitter.com/bravojumadi/status/1733506432455336222
Sat Dec 09 15:18:34 +0000 2023;1733506429842305056;"Prabowo Cinta Rakyat Gaspoll Bro Jabar Berbekal Asta Cita Ajak Masyarakat Dukung Prabowo-Gibran - https://t.co/uXTta3PyGI https://t.co/QCfbwIMNmf #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;1;0;in;814012104768307201;1733506429842305056;RondangKomariah;https://twitter.com/RondangKomariah/status/1733506429842305056
